Estonia 	EST 	1995 	4373665145.55468
Estonia 	EST 	1996 	4746109767.1999
Estonia 	EST 	1997 	5066240419.29666
Estonia 	EST 	1998 	5617109244.63233
Estonia 	EST 	1999 	5726897998.29642
Estonia 	EST 	2000 	5685774808.80862
Estonia 	EST 	2001 	6245069734.13302
Estonia 	EST 	2002 	7322069511.16134
Estonia 	EST 	2003 	9833870709.12376
Estonia 	EST 	2004 	12059201242.236
Estonia 	EST 	2005 	14006088297.4754
Estonia 	EST 	2006 	16963625015.6818
Estonia 	EST 	2007 	22237061730.0849
Estonia 	EST 	2008 	24194039255.8957
Estonia 	EST 	2009 	19652492636.8436
Estonia 	EST 	2010 	19490936349.1753
Estonia 	EST 	2011 	23170239900.7654
Estonia 	EST 	2012 	23043864510.0543
Estonia 	EST 	2013 	25137153149.4377
Estonia 	EST 	2014 	26224622450.8302
Estonia 	EST 	2015 	22566956982.229
Estonia 	EST 	2016 	23337907618.5174
