United States 	USA 	1960 	543300000000
United States 	USA 	1961 	563300000000
United States 	USA 	1962 	605100000000
United States 	USA 	1963 	638600000000
United States 	USA 	1964 	685800000000
United States 	USA 	1965 	743700000000
United States 	USA 	1966 	815000000000
United States 	USA 	1967 	861700000000
United States 	USA 	1968 	942500000000
United States 	USA 	1969 	1019900000000
United States 	USA 	1970 	1075884000000
United States 	USA 	1971 	1167770000000
United States 	USA 	1972 	1282449000000
United States 	USA 	1973 	1428549000000
United States 	USA 	1974 	1548825000000
United States 	USA 	1975 	1688923000000
United States 	USA 	1976 	1877587000000
United States 	USA 	1977 	2085951000000
United States 	USA 	1978 	2356571000000
United States 	USA 	1979 	2632143000000
United States 	USA 	1980 	2862505000000
United States 	USA 	1981 	3210956000000
United States 	USA 	1982 	3344991000000
United States 	USA 	1983 	3638137000000
United States 	USA 	1984 	4040693000000
United States 	USA 	1985 	4346734000000
United States 	USA 	1986 	4590155000000
United States 	USA 	1987 	4870217000000
United States 	USA 	1988 	5252629000000
United States 	USA 	1989 	5657693000000
United States 	USA 	1990 	5979589000000
United States 	USA 	1991 	6174043000000
United States 	USA 	1992 	6539299000000
United States 	USA 	1993 	6878718000000
United States 	USA 	1994 	7308755000000
United States 	USA 	1995 	7664060000000
United States 	USA 	1996 	8100201000000
United States 	USA 	1997 	8608515000000
United States 	USA 	1998 	9089168000000
United States 	USA 	1999 	9660624000000
United States 	USA 	2000 	10284779000000
United States 	USA 	2001 	10621824000000
United States 	USA 	2002 	10977514000000
United States 	USA 	2003 	11510670000000
United States 	USA 	2004 	12274928000000
United States 	USA 	2005 	13093726000000
United States 	USA 	2006 	13855888000000
United States 	USA 	2007 	14477635000000
United States 	USA 	2008 	14718582000000
United States 	USA 	2009 	14418739000000
United States 	USA 	2010 	14964372000000
United States 	USA 	2011 	15517926000000
United States 	USA 	2012 	16155255000000
United States 	USA 	2013 	16691517000000
United States 	USA 	2014 	17393103000000
United States 	USA 	2015 	18120714000000
United States 	USA 	2016 	18624475000000
